Firm_ID;BenefitProgramPeriod;TotalSpent;TotalPurchases;AvgSpentOnTransaction
54963;Never in program;331182,00;8;41397,75
3117319;Never in program;3685834,00;63;58505,3015
763274;Never in program;2080089,00;69;30146,2173
1600309;Never in program;2379379,00;33;72102,3939
1200659;Never in program;186017,00;4;46504,25
1023767;Never in program;1126218,00;11;102383,4545
1778664;Never in program;1301814,00;13;100139,5384
2951767;Never in program;1765224,00;34;51918,3529
1730147;Never in program;9386627,00;83;113091,8915
788767;Never in program;369032,00;6;61505,3333
31951;Never in program;5659690,00;8;707461,25
4000537;Never in program;253139,00;4;63284,75
4757951;Never in program;9579065,00;62;154501,0483
4370452;Never in program;2354959,00;29;81205,4827
3393086;Never in program;38048876,00;178;213757,7303
2022610;Never in program;3546207,00;26;136392,5769
452700;Never in program;1927998,00;24;80333,25
361402;Never in program;1816439,00;9;201826,5555
192396;Never in program;16082303,00;58;277281,0862
2596041;Never in program;846445,00;20;42322,25
2091685;Never in program;209338,00;4;52334,50
1781798;Never in program;535372,00;2;267686,00
627873;Never in program;1554414,00;17;91436,1176
404941;Never in program;617130,00;11;56102,7272
2873206;Never in program;1999010,00;18;111056,1111
4038039;Never in program;2521898,00;19;132731,4736
2126208;Never in program;3329730,00;10;332973,00
2790220;Never in program;2546954,00;14;181925,2857
2172681;Never in program;4961472,00;52;95412,923
3352300;Never in program;1010786,00;14;72199,00
2324576;Never in program;4144247,00;17;243779,2352
1169862;Never in program;1275545,00;3;425181,6666
2597919;Never in program;1974252,00;3;658084,00
552363;Never in program;6155122,00;20;307756,10
1508626;Never in program;12732765,00;55;231504,8181
3239768;Never in program;1934775,00;6;322462,50
1493008;Never in program;6450855,00;13;496219,6153
1033217;Never in program;2372844,00;20;118642,20
4604716;Never in program;693773,00;7;99110,4285
2356864;Never in program;2997008,00;35;85628,80
457249;Never in program;1250451,00;4;312612,75
1490318;Never in program;851519,00;15;56767,9333
1562724;Never in program;202359,00;8;25294,875
3268065;Never in program;409552,00;1;409552,00
4018429;Never in program;24313281,00;71;342440,5774
4656315;Never in program;46429277,00;252;184243,1626
2865012;Never in program;87601,00;3;29200,3333
3984681;Never in program;3189436,00;29;109980,5517
1479695;Never in program;5993169,00;84;71347,25
1893375;Never in program;469240,00;10;46924,00
5391512;Never in program;479216,00;4;119804,00
2870658;Never in program;2867110,00;35;81917,4285
2013759;Never in program;12268143,00;60;204469,05
8777870;After;488449,00;6;81408,1666
4294853;Never in program;7439699,00;102;72938,2254
1830380;Never in program;3876478,00;16;242279,875
1680950;Never in program;1725456,00;24;71894,00
3044316;Never in program;316883,00;4;79220,75
1353157;Never in program;315019,00;8;39377,375
2245068;Never in program;9367722,00;59;158774,9491
2808718;Never in program;2917691,00;19;153562,6842
2393006;Never in program;653636,00;7;93376,5714
2050456;Never in program;4810334,00;54;89080,2592
471877;Never in program;14268068,00;35;407659,0857
2392301;Never in program;1406367,00;5;281273,40
2453773;Never in program;54027,00;1;54027,00
2521001;Never in program;2231407,00;23;97017,6956
1799412;Never in program;773609,00;9;85956,5555
1292390;Never in program;11572752,00;71;162996,507
4484446;Never in program;166281,00;6;27713,50
384037;After;282732,00;5;56546,40
4145518;Never in program;115205,00;3;38401,6666
3540159;Never in program;2955668,00;20;147783,40
2467062;Never in program;4542937,00;33;137664,7575
1818217;Never in program;122935,00;3;40978,3333
1499347;Never in program;18190487,00;150;121269,9133
1849456;Never in program;691156,00;5;138231,20
1485306;Never in program;3387113,00;29;116797,00
2857707;Never in program;4308051,00;46;93653,2826
1728801;Never in program;8761003,00;77;113779,2597
333632;Never in program;5651283,00;31;182299,4516
2452339;Never in program;1496652,00;13;115127,0769
3056715;Never in program;6861293,00;24;285887,2083
2490827;Never in program;615596,00;7;87942,2857
4216790;Never in program;3289978,00;36;91388,2777
4998319;Never in program;29000,00;1;29000,00
5941861;Never in program;10192913,00;31;328803,6451
3304928;Never in program;67289,00;2;33644,50
596981;Never in program;2309836,00;19;121570,3157
1055333;Never in program;17379664,00;38;457359,5789
5122345;Never in program;4192923,00;68;61660,6323
